"";"mutant_DD";"mutant_LL";"WT_DD";"WT_LL"
"TrA0228W";6,40960464717733;0,0437491432927239;6,46633587022786;0,680802735789829
"TrA0229C";0,525858221201064;0,86900495239311;0,546922315998267;0,592237123960413
"TrA0230W";-2,74019135119542;-2,48260981632622;-3,23348895113482;-2,79780888422896
"TrA0231W";6,67790333524323;6,863084156926;6,52593307028729;6,91845039200786
"TrA0232C";5,28591500055231;5,41238872361248;5,05930085812319;5,42887352861542
"TrA0233C";3,03620928088382;3,17484013344264;2,57705472668274;3,3726919945776
"TrA0234C";8,07975170287282;8,61866561387106;8,25468044191495;8,28916212819741
"TrA0235C";-4,86508699255889;-3,90842033957023;-4,38744154238451;-4,38072886335668
"TrA0236W";6,71242165131456;7,0437128933004;6,44110107311627;6,89515819118001
"TrA0237C";2,79006084948401;2,43643233092305;2,46866658269029;2,5943899923988
"TrA0238C";5,40121230161668;6,43461573848995;5,35645607377941;6,36967168777942
"TrA0239W";1,12691461032413;1,45761586069734;1,37046624900928;1,06665355726439
"TrA0240W";9,19508362319442;7,17133537745928;9,45247388497514;7,37126255968111
"TrA0241C";-0,96822837861148;0,884087913490691;-0,286996484657329;0,715465445299537
"TrA0242W";7,3168283645077;7,53590727874123;7,47785315406444;6,88133523265856
"TrA0243C";4,21831950091657;4,54895561342572;4,02958839670521;4,38334561386273
"TrA0244W";4,52785454555308;5,08127010700084;4,67771510450407;5,23817114208246
"TrA0245W";6,29572790978484;6,19950991489753;6,28263273583849;6,26879824064913
"TrA0246W";4,09868282796824;3,6720207668477;4,21135035107115;3,79866325255195
"TrA0247C";4,35282980389253;4,65381353090111;4,26180127012529;4,78153908045347
"TrA0248W";3,94274557129259;3,74920989128063;3,90312237545192;3,7572969292405
"TrA0249W";-1,94256218866894;-4,44576093397514;-2,2027879885635;-4,89930685457746
"TrA0250W";-4,86508699255889;-4,44658186416321;-3,86950572503376;-4,89930685457746
"TrA0251C";3,68720516729907;1,79084786755904;3,74097047372159;0,711434253613982
"TrA0252W";5,81089616334049;5,72445177480497;5,92421866400401;5,8496633200859
"TrA0253W";2,85605579524119;2,71237729414803;2,92672062437129;2,83150399138401
"TrA0254W";3,75031374642656;3,33840074414435;4,20004229182153;3,27079587334638
"TrA0255W";3,36292155456566;6,60741563082395;3,09797463150876;7,75429363787065
"TrA0256C";-3,79444143387138;-2,43576228640019;-2,84518933338203;-1,94436143137179
"TrA0257W";-0,679863125899045;-4,43177961523502;-0,235502081338137;-3,62692212041588
"TrA0258W";-4,86508699255889;-4,96862819080281;-4,38467282974187;-4,89930685457746
"TrA0259W";-4,35623794928691;-4,96862819080281;-4,91812421968957;-4,89930685457746
"TrA0260C";7,3726373452584;6,01676225762362;7,20872230427552;5,79309984469563
"TrA0261W";3,72556830162151;3,37868655448923;3,47374020916305;3,57071315005829
"TrA0262C";5,79445373469703;5,5898876389427;5,83862484574143;6,09740238298619
"TrA0263C";6,5110606499971;6,46668577407331;6,50345108646576;6,4312221422183
"TrA0264C";9,20796884897995;9,23443921332355;9,21380916218022;9,16802721087707
"TrA0265C";3,04204906074079;2,80734687013136;3,05364624000502;2,69137593784681
"TrA0266C";6,95371254563243;5,32966633458109;7,07433165724594;5,41795049435107
"TrA0267W";5,7155833461589;3,19025361347708;5,48537320018817;3,27004088693113
"TrA0268C";8,43122584600204;8,50197761035993;8,2663778373921;8,2237389157771
"TrA0269C";4,76014071322113;5,00862613652129;4,89062864449819;4,02750983907855
"TrA0270C";8,64500083229795;8,96997226484632;8,61202380141279;8,68450371448581
"TrA0271W";4,527289509331;4,26656832908886;4,0966642149375;4,23482897054563
"TrA0272C";4,92291924883575;7,50145671439846;4,42629033105218;7,26530778102342
"TrA0273W";-0,842660373739179;-0,0827894010009236;-1,91744687574747;-0,154334133025926
"TrA0274C";8,32806382396257;8,25998044395639;8,19030231565501;8,28498484975612
"TrA0275W";2,06468946446377;2,03932836899674;1,51852424583436;2,27956890978719
"TrA0276C";5,40504547130704;5,42382120091368;5,0157064143508;5,28234559443135
"TrA0277C";1,44665952496944;-1,03453125746299;1,50270145276826;-4,35419059486636
"TrA0278W";-1,520321861384;-3,15787248680522;-0,995162451650913;-2,25316608455161
"TrA0279W";-2,36354984130282;-3,13406318821558;-2,47965264682193;-3,86871760124159
"TrA0280C";4,2868593896831;4,15917139886379;4,24563536741529;4,18545482083203
"TrA0281C";7,2108606315258;6,87001107534707;7,30836161212638;6,92853509543371
"TrA0282W";5,58842572781374;5,43010716287586;5,56425994185163;4,86749088902505
"TrA0283W";5,43515000124797;5,76890702173209;5,40334046946356;5,65672942881347
"TrA0284C";7,42224614437997;7,22387350205893;7,24169758730954;7,07320890943663
"TrA0285W";3,90746243263066;4,19015517937054;3,52987662244092;4,09052349005696
"TrA0286W";5,45912214594664;5,30955871030902;5,6044939835609;5,61195234067811
"TrA0287C";6,89254361269709;7,39080859380149;6,61941042252279;7,22821267797868
"TrA0288W";-2,3297699136953;-2,89120406483953;-3,61778675420236;-2,40664788257847
"TrA0289C";-2,79891412411936;-3,12440027385095;-4,38467282974186;-2,11163793846793
"TrA0290W";1,39189718205548;2,42427598956187;1,48219108918457;1,82251242507424
"TrA0291C";5,91531779928847;6,09295257756276;5,78068245663527;5,97875066820406
"TrA0292W";8,31379679960331;11,5374746877437;7,96474079526875;11,5761075085081
"TrA0293C";7,90042026973467;7,63999876715459;7,77057238066524;7,47118619010203
"TrA0294W";7,06738534856576;6,98907060024022;7,10177903777137;7,09368966031491
"TrA0295W";8,05894429759614;8,06516429689158;8,02029944175024;8,03628934698806
"TrA0296C";6,94689879705219;6,60387973630847;7,03645865063442;6,77625873455582
"TrA0297W";5,03244134640551;4,97067272066607;4,94158471960505;5,28269813547986
"TrA0298C";-0,319151703212941;-4,96862819080281;1,90767912899026;-4,89930685457746
"TrA0299W";5,85484859631934;7,17541095108884;5,85516633253728;7,48009313899566
"TrA0300C";4,91581134552557;5,15505093289248;4,74038053763345;4,96298812028207
"TrA0301C";0,432814137629914;0,772389459953183;-0,260294351425362;0,75978448102925
